0.012	2.775	29.14
0.153	0.256	440.00
0.166	0.342	466.16
0.171	0.260	1318.51
0.173	0.278	1396.91
0.250	0.910	493.88
0.265	0.398	1479.98
0.621	0.864	1479.98
0.904	0.975	466.16
0.905	1.252	440.00
0.913	1.239	1396.91
0.916	1.228	1318.51
1.114	1.254	466.16
1.209	1.269	369.99
1.214	1.271	1108.73
1.225	1.836	392.00
1.226	1.807	1174.66
1.793	1.862	415.30
1.834	1.898	1318.51
2.117	2.235	369.99
2.151	2.219	1108.73
2.155	2.366	392.00
2.159	2.354	1174.66
2.430	2.508	440.00
2.445	2.611	466.16
2.449	2.562	1396.91
2.469	2.530	1108.73
2.514	2.911	493.88
2.520	2.857	1479.98
2.837	3.543	29.14
3.044	3.275	1174.66
3.049	3.275	587.33
3.297	3.602	1174.66
3.333	3.587	587.33
3.613	3.794	1174.66
3.617	3.908	587.33
3.668	4.286	29.14
3.893	4.884	523.25
3.904	3.978	1318.51
3.928	4.796	1046.50
3.956	4.024	1567.98
4.035	4.856	1567.98
4.349	4.517	29.14
4.570	4.668	29.14
4.785	4.889	1318.51
4.864	5.917	29.14
5.019	5.078	277.18
5.024	5.094	1396.91
5.047	5.102	1479.98
5.048	5.111	369.99
5.070	5.354	392.00
5.084	5.367	1174.66
5.323	5.384	466.16
5.332	5.621	493.88
5.342	5.592	1479.98
5.591	5.932	523.25
5.619	5.690	1318.51
5.630	5.924	1046.50
5.917	6.328	1174.66
5.924	6.589	587.33
5.994	6.882	29.14
6.449	6.617	1174.66
6.516	7.182	493.88
6.517	7.171	1479.98
7.033	8.128	29.14
7.084	7.567	392.00
7.085	7.148	1396.91
7.095	7.502	1174.66
7.709	8.401	466.16
7.718	8.401	1396.91
7.883	8.361	1318.51
7.894	8.225	440.00
8.196	8.314	29.14
8.257	8.366	440.00
8.382	9.308	392.00
8.393	9.252	1174.66
8.592	8.883	29.14
9.378	9.624	29.14
9.743	10.581	29.14
10.658	10.763	29.14
