0.518	0.633	349.23
0.528	0.607	1046.50
0.533	1.095	369.99
0.544	0.719	1318.51
0.552	0.653	415.30
0.564	0.723	440.00
0.566	0.633	1244.51
0.583	0.732	1108.73
0.633	0.696	1567.98
0.768	0.904	349.23
0.776	0.873	1046.50
0.789	0.997	415.30
0.799	0.862	1760.00
0.799	0.908	1318.51
0.811	0.936	1244.51
0.816	0.879	155.56
0.824	1.026	1108.73
0.923	1.001	1318.51
1.083	1.151	1174.66
1.088	1.181	29.14
1.251	1.354	349.23
1.264	1.340	1046.50
1.266	1.517	1108.73
1.278	1.513	369.99
1.278	1.494	739.99
1.281	1.355	1760.00
1.328	1.480	1864.66
1.640	1.714	277.18
1.655	2.458	293.66
1.660	2.464	880.00
1.678	2.413	1479.98
1.695	1.763	554.37
2.233	2.337	2349.32
2.244	2.375	587.33
2.374	2.454	1174.66
2.424	2.536	277.18
2.485	2.931	261.63
2.487	2.701	1318.51
3.514	3.619	349.23
3.534	3.602	1046.50
3.537	3.700	739.99
3.539	3.734	1108.73
3.540	3.589	1760.00
3.542	3.731	369.99
3.775	4.012	1108.73
3.780	4.086	369.99
3.785	3.897	1046.50
3.788	3.957	349.23
3.795	3.852	1396.91
3.801	3.922	1760.00
3.808	3.922	739.99
3.817	3.866	554.37
3.819	3.976	415.30
3.826	3.926	2349.32
3.828	3.946	1244.51
3.828	3.890	155.56
3.831	3.898	138.59
3.834	3.891	261.63
3.922	4.015	1318.51
4.048	4.174	196.00
4.051	4.146	1108.73
4.054	4.132	233.08
4.070	4.172	1174.66
4.071	4.174	246.94
4.085	4.192	392.00
4.254	4.315	329.63
4.261	4.503	349.23
4.281	4.499	1046.50
4.281	4.555	1108.73
4.281	4.565	369.99
4.284	4.480	1760.00
4.284	4.393	739.99
4.294	4.357	698.46
4.338	4.473	1396.91
4.346	4.424	932.33
4.468	4.551	1318.51
4.634	4.708	29.14
4.635	4.718	277.18
4.647	5.432	293.66
4.658	5.444	880.00
4.665	5.331	1479.98
4.678	4.761	2489.02
4.692	4.814	554.37
5.301	5.432	1174.66
5.400	5.489	277.18
5.401	5.473	830.61
5.439	5.837	261.63
5.452	5.539	1318.51
5.597	5.759	1244.51
5.829	6.032	29.14
6.412	6.497	207.65
6.433	6.614	220.00
6.447	6.617	659.26
6.462	6.615	1108.73
6.527	6.587	1760.00
6.652	6.915	220.00
6.657	6.916	659.26
6.669	6.913	1108.73
6.693	6.762	440.00
6.775	6.859	1760.00
6.994	7.141	220.00
7.019	7.117	659.26
7.029	7.145	1108.73
7.113	7.252	233.08
7.148	7.242	1174.66
7.153	7.239	29.14
7.162	7.254	185.00
7.166	7.631	246.94
7.208	7.296	493.88
7.218	7.401	739.99
7.226	7.607	1244.51
7.417	7.632	29.14
7.491	8.098	196.00
7.512	8.264	1174.66
7.524	7.613	739.99
7.554	8.288	392.00
7.589	8.098	587.33
7.618	8.100	987.77
7.620	7.738	1975.53
7.638	8.032	1396.91
7.780	7.888	3322.44
7.866	8.246	1975.53
8.180	8.275	196.00
8.331	8.800	349.23
8.335	8.394	329.63
8.347	8.987	1046.50
8.349	8.494	1396.91
8.361	9.163	369.99
8.365	8.427	739.99
8.366	9.107	1108.73
8.367	8.613	1760.00
8.386	8.819	3951.07
8.439	8.526	698.46
8.910	8.993	349.23
8.995	9.074	220.00
9.020	9.070	73.42
9.104	9.170	233.08
9.134	9.269	29.14
9.345	9.413	1174.66
9.495	9.577	207.65
9.510	9.581	277.18
9.513	9.680	220.00
9.531	9.581	440.00
9.533	9.678	659.26
9.545	9.672	1108.73
9.553	9.616	466.16
9.584	9.651	1760.00
9.707	9.972	220.00
9.719	9.944	659.26
9.741	9.934	1108.73
9.747	9.921	1760.00
10.037	10.176	220.00
10.154	10.295	233.08
10.164	10.274	103.83
10.180	10.276	185.00
10.204	10.277	196.00
10.219	10.675	246.94
10.259	10.444	739.99
10.448	10.710	29.14
10.527	10.647	1244.51
10.541	10.650	293.66
10.550	11.254	196.00
10.555	10.656	880.00
10.620	11.304	392.00
10.622	11.258	587.33
10.645	11.236	1174.66
10.667	11.182	987.77
10.685	11.231	1396.91
10.709	10.775	3322.44
10.786	11.229	1975.53
10.807	10.884	3135.96
10.838	10.913	2217.46
10.896	10.952	1244.51
11.157	11.291	29.14
11.304	11.376	329.63
11.312	11.854	349.23
11.339	11.852	1046.50
11.342	11.564	1396.91
11.352	11.571	1760.00
11.356	12.085	1108.73
11.361	12.080	369.99
11.379	11.476	3951.07
11.630	11.787	1760.00
11.834	12.166	220.00
11.852	12.136	73.42
11.886	12.621	293.66
11.908	12.042	1244.51
11.940	12.020	1396.91
11.965	12.076	1479.98
11.976	12.389	880.00
12.007	12.095	1318.51
12.087	12.156	1108.73
12.134	12.364	1479.98
