0.666	0.817	220.00
0.694	1.156	293.66
0.773	1.098	880.00
0.824	0.871	659.26
0.866	1.071	1479.98
1.345	1.406	277.18
1.351	1.676	293.66
1.370	1.638	880.00
1.376	1.601	1479.98
1.381	1.497	2489.02
1.744	1.952	29.14
1.750	1.845	196.00
1.782	1.852	246.94
2.292	2.367	329.63
2.299	2.406	349.23
2.309	2.357	987.77
2.314	2.389	1046.50
2.351	2.637	1108.73
2.355	2.672	369.99
2.378	2.427	739.99
2.391	2.488	1864.66
2.726	2.805	196.00
2.735	2.899	29.14
2.975	3.058	1174.66
3.202	3.960	415.30
3.216	3.948	1244.51
3.237	3.937	2093.00
3.900	4.241	1318.51
3.911	4.241	440.00
3.934	4.207	880.00
3.957	4.182	2217.46
3.960	4.194	523.25
3.971	4.187	1567.98
3.972	4.112	1046.50
3.998	4.122	1396.91
4.007	4.114	1864.66
4.037	4.114	1479.98
4.051	4.129	987.77
4.184	4.344	1244.51
4.190	4.360	415.30
4.228	4.349	392.00
4.251	4.362	1174.66
4.301	4.384	349.23
4.305	4.474	293.66
4.311	4.406	369.99
4.313	4.379	277.18
4.314	4.385	207.65
4.325	4.445	220.00
4.338	4.422	659.26
4.343	4.439	1108.73
4.352	4.423	73.42
4.368	4.428	880.00
4.425	4.549	233.08
4.438	4.520	311.13
4.444	4.532	1174.66
4.465	4.543	61.74
4.467	4.541	103.83
4.489	4.885	246.94
4.491	4.563	196.00
4.528	4.743	739.99
4.550	4.741	1244.51
4.974	5.324	293.66
4.980	5.253	880.00
5.000	5.237	1479.98
5.002	5.110	2489.02
5.066	5.172	2349.32
5.439	5.598	29.14
5.450	5.544	196.00
5.936	6.043	349.23
5.952	6.029	1046.50
5.955	6.273	1108.73
5.955	6.003	1396.91
5.973	6.350	369.99
6.323	6.390	233.08
6.342	6.478	196.00
6.365	6.485	246.94
6.368	6.465	29.14
6.437	6.492	293.66
6.849	6.929	349.23
6.887	7.119	369.99
6.888	7.116	1108.73
7.092	7.185	1046.50
7.092	7.191	349.23
7.147	7.350	329.63
7.149	7.215	987.77
7.188	7.358	311.13
7.197	7.333	932.33
7.204	7.338	1567.98
7.311	7.388	277.18
7.322	7.619	293.66
7.337	7.605	880.00
7.366	7.578	2349.32
7.381	7.563	1479.98
7.578	7.680	277.18
7.622	7.841	261.63
7.635	7.710	1318.51
7.834	8.011	220.00
7.859	8.000	659.26
7.888	7.990	1108.73
8.076	8.290	220.00
8.087	8.295	293.66
8.118	8.230	659.26
8.131	8.282	73.42
8.171	8.289	1108.73
8.295	8.403	233.08
8.306	8.375	311.13
8.333	8.711	246.94
8.334	8.420	29.14
8.334	8.397	61.74
8.370	8.576	739.99
8.390	8.457	185.00
8.394	8.450	1244.51
8.640	8.700	196.00
8.810	8.875	277.18
8.830	9.175	293.66
8.849	9.098	880.00
8.867	9.056	1479.98
9.275	9.488	29.14
9.320	9.384	36.71
9.845	9.948	349.23
9.856	10.190	1108.73
9.857	9.920	1046.50
9.873	10.299	369.99
10.278	10.444	29.14
10.774	11.543	415.30
10.806	11.541	1244.51
10.807	10.912	2093.00
10.937	11.022	1174.66
11.454	11.519	2093.00
11.492	11.749	1318.51
11.511	11.758	440.00
11.569	11.627	4186.01
11.712	11.860	415.30
11.714	11.839	1244.51
11.822	11.904	369.99
11.844	11.907	220.00
11.846	11.908	659.26
11.853	11.906	293.66
