1.808	1.909	392.00
1.810	1.941	415.30
1.812	1.963	1244.51
1.815	1.897	1174.66
1.822	1.883	1567.98
1.902	2.351	440.00
1.903	2.321	1318.51
2.246	2.327	523.25
2.295	2.416	277.18
2.301	2.546	466.16
2.306	2.466	29.14
2.315	2.410	349.23
2.318	2.425	1396.91
2.344	2.404	123.47
2.352	2.407	293.66
2.354	2.412	1174.66
2.472	2.520	1396.91
2.589	2.660	392.00
2.602	2.784	415.30
2.610	2.684	1174.66
2.610	2.790	1244.51
2.611	2.666	1567.98
2.615	2.825	1318.51
2.713	2.862	440.00
3.051	3.183	29.14
3.111	3.174	293.66
3.325	3.551	415.30
3.332	3.557	1244.51
3.334	3.425	1174.66
3.354	3.449	2489.02
3.436	3.833	1318.51
3.459	3.878	440.00
3.813	3.931	277.18
3.818	4.077	466.16
3.822	4.036	1396.91
3.826	3.905	493.88
3.837	4.010	29.14
3.839	3.929	349.23
3.864	3.918	329.63
3.864	3.929	293.66
3.934	3.991	3729.31
4.119	4.215	392.00
4.131	4.313	415.30
4.138	4.216	1174.66
4.141	4.317	1244.51
4.143	4.203	1567.98
4.201	4.350	1318.51
4.238	4.373	440.00
4.591	4.702	29.14
4.876	4.976	392.00
4.881	5.079	415.30
4.887	5.103	1244.51
4.887	4.981	1174.66
4.890	4.963	1318.51
4.910	4.971	1661.22
4.911	4.970	1567.98
5.006	5.354	1318.51
5.024	5.434	440.00
5.265	5.346	349.23
5.280	5.335	87.31
5.291	5.379	261.63
5.358	5.445	277.18
5.359	5.532	29.14
5.363	5.429	349.23
5.364	5.439	1396.91
5.365	5.461	466.16
5.375	5.434	493.88
5.481	5.580	466.16
5.514	5.561	1396.91
5.639	5.708	392.00
5.655	5.844	415.30
5.659	5.728	1174.66
5.660	5.872	1244.51
5.683	6.136	1318.51
5.699	5.765	138.59
5.776	6.191	440.00
6.008	6.142	261.63
6.024	6.109	87.31
6.030	6.104	2793.83
6.121	6.225	277.18
6.131	6.342	29.14
6.138	6.348	466.16
6.146	6.321	1396.91
6.202	6.260	4186.01
6.414	6.560	392.00
6.420	6.665	415.30
6.433	6.517	1567.98
6.433	6.664	1244.51
6.439	6.543	1174.66
6.558	6.884	1318.51
6.565	6.937	440.00
6.817	6.890	261.63
6.881	6.983	277.18
6.887	7.092	29.14
6.889	7.132	466.16
6.903	7.079	1396.91
6.904	6.987	349.23
6.917	6.978	493.88
6.929	6.979	329.63
6.977	7.061	3729.31
6.989	7.060	2349.32
7.036	7.105	349.23
7.175	7.369	415.30
7.179	7.240	1174.66
7.185	7.362	1244.51
7.242	7.422	1318.51
7.300	7.411	440.00
7.635	7.744	29.14
7.893	8.309	392.00
7.902	8.006	415.30
7.908	8.321	1244.51
7.909	8.308	1174.66
7.927	8.292	1567.98
7.934	8.055	1661.22
8.293	8.466	440.00
8.294	8.399	1318.51
8.318	8.407	349.23
8.320	8.391	87.31
8.321	8.410	261.63
8.340	8.418	783.99
8.366	8.429	1046.50
8.403	8.584	1396.91
8.422	8.589	29.14
8.424	8.487	277.18
8.425	8.623	466.16
8.485	8.561	3729.31
8.679	8.914	392.00
8.688	8.871	415.30
8.695	8.892	1244.51
8.696	8.902	1174.66
8.711	8.886	1567.98
8.718	8.868	1661.22
9.084	9.247	29.14
9.125	9.189	277.18
9.134	9.202	349.23
9.136	9.184	220.00
9.139	9.212	1396.91
9.154	9.211	293.66
9.437	9.850	392.00
9.448	9.901	415.30
9.458	9.908	1244.51
9.459	9.840	1174.66
9.461	9.816	1567.98
9.636	9.728	1975.53
9.840	9.993	440.00
9.843	9.966	261.63
9.850	9.947	1318.51
9.861	9.930	87.31
9.935	10.113	1396.91
9.949	10.001	277.18
9.956	10.168	466.16
10.014	10.099	3729.31
10.042	10.090	2349.32
10.195	10.262	392.00
10.203	10.382	415.30
10.220	10.377	1244.51
10.222	10.322	1174.66
10.227	10.298	1567.98
10.228	10.314	1661.22
10.344	10.391	1318.51
10.558	10.742	29.14
10.595	10.673	277.18
10.599	10.649	220.00
10.620	10.675	233.08
10.915	11.029	392.00
10.925	11.040	415.30
10.931	11.005	1174.66
10.946	11.005	1567.98
11.009	11.482	440.00
11.011	11.322	1318.51
11.323	11.440	261.63
11.332	11.506	493.88
11.375	11.438	523.25
11.381	11.449	1318.51
11.412	11.532	277.18
11.421	11.720	466.16
11.427	11.614	29.14
11.443	11.622	1396.91
11.456	11.529	349.23
11.512	11.591	3729.31
11.546	11.604	4186.01
11.698	11.778	493.88
11.707	11.867	523.25
11.729	11.866	1479.98
11.730	11.879	1567.98
11.737	11.836	2793.83
11.738	11.787	2489.02
11.782	11.859	2349.32
11.828	12.040	415.30
11.839	12.031	440.00
11.854	11.903	261.63
11.861	12.040	1244.51
11.875	12.010	1318.51
