0.969	1.152	246.94
1.007	1.426	293.66
1.038	1.149	1479.98
1.040	1.152	196.00
1.081	1.292	880.00
1.486	1.823	293.66
1.512	1.571	196.00
1.531	1.664	880.00
2.165	2.386	29.14
2.171	2.250	293.66
2.193	2.248	1174.66
2.194	2.242	196.00
2.372	2.464	196.00
2.374	2.724	293.66
2.383	2.481	392.00
2.392	2.457	246.94
2.392	2.523	880.00
2.401	2.505	587.33
2.402	2.452	1396.91
2.412	2.475	369.99
2.447	2.546	1760.00
2.472	2.622	1174.66
2.801	2.889	293.66
2.818	2.877	196.00
2.834	2.945	29.14
2.841	2.892	392.00
3.023	3.331	293.66
3.028	3.087	246.94
3.029	3.084	196.00
3.072	3.146	880.00
3.121	3.191	1174.66
3.433	3.733	293.66
3.456	3.531	196.00
3.471	3.524	246.94
3.507	3.578	880.00
4.060	4.400	29.14
4.065	4.122	233.08
4.091	4.172	246.94
4.106	4.183	1174.66
4.120	4.172	392.00
4.275	4.364	246.94
4.281	4.624	293.66
4.283	4.351	196.00
4.305	4.378	392.00
4.306	4.359	466.16
4.308	4.443	880.00
4.320	4.472	587.33
4.325	4.447	277.18
4.370	4.452	1760.00
4.373	4.474	1174.66
4.449	4.612	880.00
4.701	4.862	293.66
4.709	4.899	29.14
4.736	4.860	880.00
5.007	5.104	349.23
5.017	5.105	1046.50
5.020	5.441	1108.73
5.020	5.102	1396.91
5.025	5.088	1760.00
5.025	5.079	739.99
5.027	5.083	1479.98
5.036	5.480	369.99
5.370	5.499	220.00
5.411	5.773	1318.51
5.422	5.773	440.00
5.963	6.384	29.14
6.023	6.078	246.94
6.048	6.096	1174.66
6.250	6.340	246.94
6.253	6.331	196.00
6.256	6.639	293.66
6.275	6.333	233.08
6.278	6.346	392.00
6.287	6.616	880.00
6.291	6.434	587.33
6.300	6.394	277.18
6.320	6.412	1760.00
6.341	6.406	1174.66
6.662	6.987	293.66
6.692	6.771	196.00
6.693	6.982	880.00
6.696	6.776	246.94
6.714	6.771	233.08
6.715	6.776	392.00
7.337	7.403	293.66
7.343	7.415	392.00
7.359	7.469	29.14
7.543	7.853	293.66
7.564	7.720	1174.66
7.573	7.687	277.18
7.580	7.842	880.00
7.586	7.702	587.33
7.596	7.720	1760.00
7.616	7.682	1108.73
7.955	8.040	293.66
7.975	8.029	196.00
7.986	8.049	880.00
7.990	8.046	392.00
7.992	8.091	29.14
8.195	8.516	293.66
8.236	8.387	880.00
8.275	8.352	1174.66
8.593	8.901	293.66
8.610	8.695	246.94
8.618	8.682	196.00
8.645	8.782	880.00
9.189	9.398	29.14
9.222	9.319	233.08
9.252	9.333	246.94
9.253	9.305	185.00
9.274	9.327	1174.66
9.456	9.551	246.94
9.471	9.535	196.00
9.474	9.590	29.14
9.475	9.555	392.00
9.476	9.799	293.66
9.478	9.539	233.08
9.504	9.607	277.18
9.524	9.638	587.33
9.525	9.767	880.00
9.533	9.649	1174.66
9.552	9.643	1760.00
9.862	9.969	293.66
9.868	10.127	29.14
10.119	10.197	277.18
10.123	10.194	220.00
10.129	10.199	207.65
10.131	10.191	466.16
10.132	10.202	329.63
10.134	10.188	554.37
10.134	10.227	1396.91
10.148	10.240	1108.73
10.155	10.254	349.23
10.165	10.500	369.99
10.340	10.406	1108.73
10.459	10.640	1108.73
10.511	10.609	369.99
10.526	10.644	220.00
10.544	10.622	277.18
10.545	10.620	1396.91
10.550	10.815	440.00
10.550	10.790	1318.51
10.573	10.642	659.26
10.693	10.909	29.14
10.777	10.838	196.00
10.781	10.857	392.00
10.803	11.126	493.88
10.834	11.094	3951.07
10.841	11.125	1479.98
10.879	11.045	3135.96
10.895	11.068	2489.02
11.089	11.238	29.14
11.154	11.303	1479.98
11.156	11.312	493.88
11.164	11.300	392.00
11.177	11.766	1174.66
11.187	11.289	246.94
11.203	11.286	293.66
11.208	12.347	587.33
11.224	11.276	1396.91
11.238	11.315	2217.46
11.272	11.436	2349.32
11.285	11.568	4186.01
11.287	11.754	1760.00
11.296	11.536	2959.96
11.641	12.068	4186.01
