0.611	0.662	246.94
0.625	0.808	261.63
0.677	0.737	1318.51
0.790	0.945	277.18
0.820	0.878	1396.91
0.829	0.918	493.88
0.856	1.176	293.66
0.870	1.153	880.00
1.238	1.314	293.66
1.404	1.526	329.63
1.416	1.910	349.23
1.425	1.496	987.77
1.466	1.685	1046.50
1.995	2.552	392.00
1.997	2.321	1244.51
2.001	2.551	1174.66
2.008	2.544	1567.98
2.008	2.063	1661.22
2.053	2.111	2489.02
2.481	2.687	1244.51
2.507	2.678	415.30
2.563	3.035	1318.51
2.581	3.059	440.00
2.590	2.671	880.00
2.743	2.798	415.30
3.025	3.106	277.18
3.029	3.128	29.14
3.033	3.363	466.16
3.036	3.101	233.08
3.041	3.108	349.23
3.041	3.310	1396.91
3.053	3.103	329.63
3.111	3.239	2349.32
3.127	3.252	2637.02
3.135	3.198	3729.31
3.404	3.529	493.88
3.431	3.814	1567.98
3.435	3.532	1046.50
3.436	3.856	523.25
3.441	3.513	2793.83
3.556	3.658	1046.50
3.884	3.947	29.14
3.959	4.709	698.46
3.999	4.101	2093.00
4.204	4.288	2093.00
4.214	4.274	3520.00
4.364	4.658	2093.00
4.366	4.670	3520.00
4.380	4.447	1396.91
4.509	4.651	1396.91
4.718	5.106	587.33
4.747	5.009	1174.66
4.758	5.066	1760.00
5.163	5.583	349.23
5.173	5.562	1046.50
5.198	5.320	233.08
5.203	5.341	293.66
5.209	5.336	880.00
5.654	5.719	392.00
5.671	5.895	415.30
5.673	5.802	1174.66
5.676	5.886	1244.51
5.677	5.785	1567.98
5.686	5.783	1661.22
5.813	6.262	1318.51
5.836	6.461	440.00
7.667	7.782	329.63
7.682	8.033	349.23
7.685	8.035	1046.50
7.686	7.751	987.77
7.697	7.747	1661.22
7.755	7.873	1396.91
7.974	8.051	987.77
7.974	8.194	329.63
8.034	8.205	311.13
8.060	8.147	1244.51
8.129	8.218	246.94
8.138	8.281	261.63
