0.83,1.34,293.66
0.85,1.06,220
1.43,1.48,283.66
1.48,1.68,293.66
1.88,1.98,217.47
1.89,1.94,293.66
2.16,2.3,270.85
2.31,2.44,261.63
2.44,2.59,222.56
2.71,2.77,275.59
2.78,2.82,267.74
2.85,3.02,258.62
3.29,3.35,286.96
3.3,3.35,218.73
3.35,3.62,293.66
3.72,3.88,290.29
3.91,4.13,197.13
3.93,4.12,297.08
3.96,4.15,246.94
4.16,4.34,220
4.49,4.58,277.18
4.59,4.65,266.2
4.65,5,260.12
5.08,5.18,193.75
5.09,5.2,241.3
5.68,5.75,216.22
5.69,5.76,277.18
5.75,6.04,293.66
5.98,6.07,220
6.15,6.19,283.66
6.2,6.49,293.66
6.36,6.5,222.56
6.55,6.74,220
6.85,7.12,267.74
7.14,7.27,220
7.17,7.27,293.66
7.39,7.47,275.59
7.48,7.54,264.67
7.56,7.68,258.62
7.67,7.88,222.56
7.97,8.03,280.4
8.03,8.34,293.66
8.26,8.29,238.53
8.27,8.31,198.28
8.41,8.54,290.29
8.59,8.74,198.28
8.62,8.78,246.94
8.85,9.03,220
9.19,9.29,277.18
9.3,9.58,264.67
9.6,9.67,264.67
9.73,9.84,238.53
9.75,9.83,295.37
9.76,9.85,193.75
