1.24,1.64,293.66
1.73,1.87,290.29
1.91,1.98,307.55
2.02,2.53,325.84
2.46,2.83,392
2.86,2.97,520.24
2.87,2.96,392
2.87,2.96,325.84
3.01,3.1,325.84
3.01,3.38,392
3.02,3.11,517.24
3.4,3.53,392
3.42,3.52,523.25
3.43,3.51,325.84
3.59,3.92,392
3.6,3.92,293.66
3.61,3.92,587.33
3.69,3.93,488.21
3.98,4.06,387.49
3.98,4.06,482.6
3.99,4.07,587.33
3.99,4.08,291.97
4.15,4.47,587.33
4.15,4.47,488.21
4.16,4.47,392
4.16,4.47,293.66
4.53,4.66,293.66
4.53,4.66,392
4.53,4.67,488.21
4.53,4.67,587.33
4.71,4.81,318.4
4.76,5.05,392
4.76,5.04,523.25
4.77,5.06,261.63
4.83,5.04,329.63
5.11,5.45,293.66
5.12,5.16,447.69
5.12,5.45,392
5.12,5.44,587.33
5.2,5.24,471.58
5.26,5.45,493.88
5.54,6.1,293.66
6.13,6.31,587.33
6.14,6.28,290.29
6.24,6.31,488.21
6.31,6.37,405.82
6.39,6.9,325.84
6.76,6.91,523.25
6.83,7.23,392
7.24,7.46,392
7.25,7.45,325.84
7.26,7.49,523.25
7.49,7.8,392
7.81,7.91,392
7.81,7.92,325.84
7.82,7.93,523.25
8,8.34,587.33
8,8.34,293.66
8,8.33,488.21
8.01,8.33,392
8.37,8.51,293.66
8.37,8.5,387.49
8.37,8.51,482.6
8.38,8.5,587.33
8.61,8.91,488.21
8.61,8.9,587.33
8.61,8.89,293.66
8.61,8.9,392
8.94,9.08,293.66
8.94,9.09,485.4
8.94,9.09,587.33
8.95,9.08,392
9.16,9.42,329.63
9.16,9.43,523.25
9.17,9.42,261.63
9.17,9.44,392
9.57,9.88,594.15
9.58,9.95,392
9.58,9.99,297.08
9.64,9.88,493.88
