0.85,1.37,293.66
0.85,1.04,246.94
0.93,1.04,196
1.41,1.52,245.52
1.42,1.52,196
1.43,1.77,293.66
2.09,2.18,246.94
2.09,2.19,290.29
2.09,2.18,193.75
2.3,2.4,198.28
2.31,2.42,244.11
2.33,2.69,290.29
2.74,2.86,293.66
2.75,2.84,241.3
2.76,2.86,191.52
2.94,3.05,196
2.96,3.3,293.66
2.96,3.04,245.52
3.36,3.47,244.11
3.36,3.68,293.66
3.37,3.49,196
3.93,4.4,146.83
4,4.12,244.11
4.02,4.15,291.97
4.05,4.14,193.75
4.22,4.34,246.94
4.23,4.58,290.29
4.23,4.35,196
4.65,4.75,245.52
4.65,4.78,196
4.65,4.82,293.66
4.97,5.05,353.29
5.04,5.42,369.99
5.37,5.8,440
5.92,6.08,290.29
5.93,6.09,241.3
5.94,6.09,193.75
6.22,6.33,246.94
6.22,6.31,196
6.22,6.59,293.66
6.62,6.75,196
6.64,6.73,246.94
6.65,6.94,293.66
7.26,7.37,290.29
7.26,7.39,244.11
7.28,7.41,193.75
7.51,7.57,244.11
7.51,7.84,290.29
7.53,7.59,193.75
7.93,8.01,290.29
7.93,8.03,244.11
7.93,8.02,196
8.16,8.25,200.58
8.17,8.25,249.81
8.19,8.48,293.66
8.56,8.92,293.66
8.57,8.7,196
8.58,8.71,246.94
9.2,9.34,244.11
9.23,9.35,290.29
9.23,9.35,193.75
9.44,9.55,244.11
9.44,9.54,197.13
9.45,9.82,290.29
9.84,10,297.08
9.85,9.97,252.71
9.86,9.99,193.75
10.12,10.19,325.84
10.18,10.24,351.25
10.25,10.49,365.74
10.52,10.65,218.73
10.52,10.62,369.99
10.52,10.63,286.96
10.55,10.79,440
10.78,11.13,493.88
11.18,11.3,293.66
11.19,11.31,392
11.19,11.31,493.88
11.2,12.55,594.15
