2.750	3.350	196.0
2.880	3.480	349.2
2.880	3.480	587.3
3.250	3.850	587.3
3.270	3.870	349.2
3.280	3.880	698.5
3.860	4.460	587.3
3.870	4.470	349.2
4.360	4.960	293.7
4.370	4.970	349.2
4.370	4.970	587.3
4.380	4.980	1174.7
4.890	5.490	349.2
4.890	5.490	587.3
4.890	5.490	1174.7
5.380	5.980	587.3
5.390	5.990	349.2
5.390	5.990	1174.7
5.760	6.360	349.2
5.760	6.360	587.3
6.130	6.730	587.3
6.140	6.740	349.2
6.340	6.940	622.3
6.360	6.960	1244.5
6.940	7.540	155.6
7.240	7.840	329.6
7.250	7.850	349.2
7.560	8.160	349.2
7.560	8.160	1396.9
7.880	8.480	311.1
7.970	8.570	246.9
7.990	8.590	261.6
8.560	9.160	493.9
