2.03,2.28,434.95
2.3,2.53,466.16
2.62,2.83,488.21
2.83,4.68,517.24
4.68,4.79,499.62
4.79,4.91,488.21
5.45,5.57,345.22
5.46,5.57,258.62
5.46,5.6,429.95
5.46,5.6,523.25
5.8,5.92,261.63
5.82,5.97,429.95
5.82,5.93,341.25
5.82,5.94,523.25
7.4,7.76,434.95
7.44,7.76,523.25
7.44,7.72,258.62
7.46,7.73,345.22
7.95,8.1,523.25
7.95,8.11,434.95
7.95,8.12,258.62
7.96,8.15,345.22
9.64,9.92,523.25
9.65,9.93,429.95
9.66,9.93,258.62
9.67,9.93,345.22
10.14,10.32,261.63
10.15,10.33,523.25
10.15,10.35,432.44
10.15,10.33,345.22
10.96,11.38,325.84
11.41,12.06,345.22
