Onset Time	Offset Time	Midi Pitch
1.00	880820000.00	-17
3.00	25079000.00	-17
1.00	102950000.00	-36
3.00	651340000.00	-17
4.00	34444000.00	-12
4.00	493060000.00	-9
6.00	275190000.00	-5
6.00	669930000.00	-3
7.00	24014000.00	-3
7.00	848320000.00	-0
8.00	881610000.00	2
9.00	264760000.00	2
9.00	659500000.00	3
10.00	65828000.00	3
10.00	472200000.00	3
10.00	66957000.00	3
10.00	948210000.00	5
